,Atalanta,Bologna,Cagliari,Empoli,Fiorentina,Genoa,Hellas Verona,Internazionale,Juventus,Lazio,Milan,Napoli,Roma,Salernitana,Sampdoria,Sassuolo,Spezia,Torino,Udinese,Venezia
Atalanta,,,64.45333333333333,54.875,,64.76635514018692,56.83582089552239,,60.640625,,,58.734375,,62.09090909090909,61.13414634146341,,,56.53731343283582,,
Bologna,51.07936507936508,,,58.890243902439025,,,,62.60606060606061,,,,49.45454545454545,,,57.42307692307692,59.3859649122807,54.42168674698795,52.188235294117646,60.46268656716418,
Cagliari,,57.886792452830186,,,53.724137931034484,,55.625,53.90909090909091,51.63157894736842,50.693548387096776,57.10204081632653,55.04,,,,61.232142857142854,,,,
Empoli,,,56.78082191780822,,,,57.02985074626866,,60.05357142857143,,,58.48275862068966,58.18333333333333,60.46808510638298,,62.3235294117647,62.48717948717949,64.87179487179488,,
Fiorentina,59.338235294117645,59.6578947368421,,55.451219512195124,,61.68354430379747,56.142857142857146,,60.68421052631579,56.6,,,60.529411764705884,,,,,,55.35294117647059,63.33734939759036
Genoa,,57.35849056603774,59.515625,53.59722222222222,,,,57.589285714285715,45.65625,53.01282051282051,,,,63.10344827586207,,,,58.26865671641791,53.21686746987952,
Hellas Verona,,56.38461538461539,,,,58.710144927536234,,,,,60.5,56.333333333333336,,61.24193548387097,59.14754098360656,,,58.19047619047619,58.957142857142856,
Internazionale,,,,66.44791666666667,60.56410256410256,,53.64179104477612,,,,60.148148148148145,,59.31707317073171,63.31818181818182,52.55,,,,,60.02857142857143
Juventus,,58.666666666666664,,,,,59.109756097560975,61.74603174603175,,52.130434782608695,,52.85,,69.54929577464789,,,59.68235294117647,55.23529411764706,58.473684210526315,58.54054054054054
Lazio,53.88709677419355,64.34246575342466,,,,,56.7536231884058,,,,60.17910447761194,60.45652173913044,,,53.196969696969695,52.540983606557376,,52.53012048192771,,57.03508771929825
Milan,58.60294117647059,,,60.51219512195122,63.1875,61.294117647058826,,,64.17567567567568,,,,54.46969696969697,,55.6031746031746,,58.19230769230769,,63.747126436781606,
Napoli,,,,,51.07936507936508,63.89156626506024,,62.59722222222222,,,51.61038961038961,,61.65217391304348,62.66153846153846,58.935064935064936,59.18987341772152,,,58.96875,
Roma,51.5,64.28395061728395,63.986301369863014,,,62.25396825396825,56.94117647058823,,60.24242424242424,59.486486486486484,,,,69.07792207792208,,,,,,63.3235294117647
Salernitana,,57.06060606060606,60.73684210526316,,57.38095238095238,,,,,54,55.679245283018865,,,,,,53.018181818181816,58.753846153846155,,58.640625
Sampdoria,,,57.28,55.733333333333334,55.46666666666667,51.76923076923077,,,60.52857142857143,,,,48.44444444444444,58.89795918367347,,58.6,,57.08888888888889,,
Sassuolo,57.289855072463766,,,,50.35897435897436,55.507246376811594,55.90769230769231,,53.25,,58.84615384615385,,55.4054054054054,,,,63.63157894736842,,58.592592592592595,
Spezia,58.493506493506494,,54.78688524590164,,49.61842105263158,,58.42168674698795,54.69387755102041,,48.343283582089555,,52.8780487804878,57.059701492537314,,62.7,,,,,55.803030303030305
Torino,,,57.78333333333333,,55.301886792452834,,,56.18421052631579,,,64.98717948717949,57.67857142857143,65.05882352941177,,,63.046875,,,,59.46153846153846
Udinese,57.285714285714285,,52.83098591549296,57.785714285714285,,,,57.66,,55.21311475409836,,,52.8625,,59.17910447761194,,52.42857142857143,59.42465753424658,,
Venezia,54.94871794871795,54.4,55.59756097560975,49.442622950819676,,50.19298245614035,,,,,56.61363636363637,61.61702127659574,,,59.93421052631579,54.96875,,,59.714285714285715,
