,Atalanta,Bologna,Cagliari,Empoli,Fiorentina,Genoa,Hellas Verona,Internazionale,Juventus,Lazio,Milan,Napoli,Roma,Salernitana,Sampdoria,Sassuolo,Spezia,Torino,Udinese,Venezia
Atalanta,,65.816091954023,,,60.93421052631579,,,,,63.95294117647059,61.55294117647059,,66.21111111111111,,,60.58571428571429,60.30434782608695,,59.41463414634146,64.73493975903614
Bologna,,,63.205882352941174,,50.57377049180328,62.08,61.94444444444444,,60.9344262295082,55.65,,,56.6875,60.93589743589744,,,,,,64.75
Cagliari,53.57627118644068,,,59.04597701149425,,54.15,,,,,,,56.813559322033896,53.53846153846154,54.59701492537314,,58.19277108433735,60.61333333333334,57.063291139240505,56.25
Empoli,59.53125,57.41891891891892,,,56.52439024390244,54.36893203883495,,52.869565217391305,,,59.527472527472526,,,,62.08045977011494,,,,60.714285714285715,60.787234042553195
Fiorentina,,,59.38356164383562,,,,,60.53061224489796,,,56.89655172413793,61.08974358974359,,60.319148936170215,59.135802469135804,61.53086419753087,64.42307692307692,60.72857142857143,,
Genoa,54.55384615384615,,,,51.70422535211268,,64.98717948717949,,,,55.6551724137931,55.172413793103445,54.333333333333336,,62.188235294117646,59.70422535211268,,,,64.20481927710843
Hellas Verona,59.27536231884058,,62.31578947368421,61.25301204819277,56.186440677966104,,,56.306451612903224,58.71212121212121,55.916666666666664,,,61.067796610169495,,,62.523809523809526,54.61904761904762,,,
Internazionale,,63.28125,70.01190476190476,,,64.36111111111111,,,59.24590163934426,,,61.306451612903224,,,,,72.38571428571429,47.94117647058823,61.413333333333334,
Juventus,60.705128205128204,,65.51851851851852,62.09090909090909,58.37096774193548,63.67816091954023,,,,,56.910714285714285,,56.35087719298246,,56.05084745762712,63.595238095238095,,,,
Lazio,,,63.57471264367816,,55.05194805194805,56.936708860759495,,,64.6413043478261,,,,51.847457627118644,58.33720930232558,,,61.05714285714286,,58.94805194805195,
Milan,,,63.114754098360656,,,,64.63291139240506,64.19047619047619,,61.41772151898734,,64.77380952380952,,63.666666666666664,,64.49230769230769,,55.57142857142857,,64.54878048780488
Napoli,53.58904109589041,69.47826086956522,69.1311475409836,65.97701149425288,,,60.566265060240966,,63.43055555555556,64.13207547169812,,,,,,,64.82954545454545,60.8,,61.65625
Roma,,,,60.4,54.22222222222222,,,56.91525423728814,,,63.310344827586206,54.166666666666664,,,59.18390804597701,59.11940298507463,61.203125,51.719298245614034,62,
Salernitana,62.88,,,64.11764705882354,,65.61224489795919,64.18032786885246,55.96078431372549,57.52272727272727,,,56.70175438596491,51.13333333333333,,62.67605633802817,,,,,
Sampdoria,59.42424242424242,62.714285714285715,,,,,62.13235294117647,59.758620689655174,,61.12244897959184,60.36986301369863,62.57692307692308,,,,,55.09090909090909,,59.785714285714285,59.80701754385965
Sassuolo,,60.32432432432432,63.18867924528302,59.33766233766234,,,,,,60.25,,61.11842105263158,,,58.16883116883117,,,54.25373134328358,,63.41095890410959
Spezia,,55.46969696969697,,53.76923076923077,,,,,54.8051948051948,,54.666666666666664,,,53.04477611940298,,52.36206896551724,,,58.666666666666664,
Torino,61.19277108433735,58.25373134328358,,60.47457627118644,,61.5125,62.70422535211268,,57.35294117647059,61.328947368421055,,,,59.44444444444444,60.3968253968254,,,,59.328947368421055,
Udinese,,58.60377358490566,,,60.46268656716418,61.02739726027397,61.041666666666664,,60.476190476190474,,57.82142857142857,59.220338983050844,,,,58.46153846153846,,,,60.45
Venezia,,,,,53.45,,,55.71875,61.68333333333333,54.78481012658228,,,53.516129032258064,55.910714285714285,,,59.12280701754386,56.11864406779661,,
